tempo_s,strain_H1,strain_L1
-1.891846,-4.099842e-20,-1.036871e-18
-1.891602,-4.329141e-20,-1.042928e-18
-1.891357,-7.791354e-20,-1.024439e-18
-1.891113,-7.833313e-20,-1.035036e-18
-1.890869,-5.395589e-20,-1.039271e-18
-1.890625,-7.468344e-20,-1.003920e-18
-1.890381,-1.000021e-19,-9.976536e-19
-1.890137,-9.772020e-20,-1.043497e-18
-1.889893,-9.197143e-20,-1.089167e-18
-1.889648,-9.342249e-20,-1.094265e-18
-1.889404,-1.161118e-19,-1.073251e-18
-1.889160,-1.309257e-19,-1.081776e-18
-1.888916,-1.101315e-19,-1.091596e-18
-1.888672,-1.137143e-19,-1.059462e-18
-1.888428,-1.466957e-19,-1.050917e-18
-1.888184,-1.480032e-19,-1.096645e-18
-1.887939,-1.394584e-19,-1.138055e-18
-1.887695,-1.434823e-19,-1.138671e-18
-1.887451,-1.558532e-19,-1.121522e-18
-1.887207,-1.768837e-19,-1.128256e-18
-1.886963,-1.680567e-19,-1.139096e-18
-1.886719,-1.552655e-19,-1.114836e-18
-1.886475,-1.868036e-19,-1.106071e-18
-1.886230,-2.025616e-19,-1.149224e-18
-1.885986,-1.855404e-19,-1.188889e-18
-1.885742,-1.893304e-19,-1.188919e-18
-1.885498,-2.028557e-19,-1.169423e-18
-1.885254,-2.172727e-19,-1.172068e-18
-1.885010,-2.218619e-19,-1.186889e-18
-1.884766,-2.025214e-19,-1.167339e-18
-1.884521,-2.207739e-19,-1.156939e-18
-1.884277,-2.521848e-19,-1.198779e-18
-1.884033,-2.356175e-19,-1.238039e-18
-1.883789,-2.308774e-19,-1.235142e-18
-1.883545,-2.488654e-19,-1.214966e-18
-1.883301,-2.592121e-19,-1.218180e-18
-1.883057,-2.673714e-19,-1.232588e-18
-1.882812,-2.547117e-19,-1.217302e-18
-1.882568,-2.563481e-19,-1.208035e-18
-1.882324,-2.929801e-19,-1.246149e-18
-1.882080,-2.891915e-19,-1.281720e-18
-1.881836,-2.690690e-19,-1.277455e-18
-1.881592,-2.909522e-19,-1.258509e-18
-1.881348,-3.038560e-19,-1.259503e-18
