supernova,z_CMB,modulo_distancia_mu,erro_mu
2007O,0.03732,35.8938,0.1517
2007O,0.03732,35.8617,0.1527
2008fr,0.03790,36.1141,0.2362
SN2017ciy,0.03762,36.5177,0.2458
2008O,0.03940,36.2254,0.3112
2009bv,0.03748,36.2564,0.1500
2008051,0.03835,36.0125,0.1704
ASASSN-15np,0.03832,36.0260,0.2195
2010dw,0.03871,36.0125,0.2047
ASASSN-15pn,0.03800,36.1962,0.2208
1999aw,0.03928,36.2125,0.1835
2008dr,0.03996,36.2840,0.1479
PS15cze,0.03891,36.5486,0.2346
2003fa,0.04015,36.0167,0.1435
2003fa,0.04015,36.0818,0.1450
SN2016glz,0.03975,35.9918,0.2105
PS16axi,0.04056,36.1263,0.1688
SN2017coa,0.04045,36.4104,0.3072
2009do,0.04027,36.0403,0.1472
2001az,0.04059,36.3153,0.1508
2007jh,0.04023,36.5601,0.2801
1992bl,0.04280,36.2101,0.2080
2014bj,0.04239,36.5106,0.4265
2006cf,0.04223,36.2931,0.1510
2006cz,0.04251,35.9138,0.2945
2007kk,0.04130,36.2521,0.1755
2007kk,0.04130,36.2071,0.1665
AT2016htm,0.04265,36.2018,0.1625
ASASSN-16ct,0.04252,36.2457,0.2071
SN2016ayg,0.04328,36.4165,0.1661
2007nq,0.04275,36.2137,0.1522
2007nq,0.04275,36.2882,0.1666
MASTERJ0134,0.04391,36.2594,0.1778
ASASSN-15mg,0.04307,36.3298,0.1812
AT2016cvv,0.04404,36.5469,0.2312
2005ku,0.04397,36.2916,0.2491
1992bh,0.04510,36.5510,0.2705
2006gt,0.04366,36.5114,0.2863
2006hx,0.04429,36.4565,0.1623
PS16cqa,0.04433,36.6866,0.3049
PSNJ1204051,0.04502,36.4541,0.1963
2005hc,0.04496,36.4634,0.1735
2005hc,0.04496,36.5139,0.1519
SN2016esh,0.04488,36.1579,0.1828
PS17tn,0.04549,36.3811,0.1960
2008050,0.04627,36.2636,0.2181
AT2016ews,0.04612,36.5394,0.1592
2005lz,0.04541,36.3247,0.1950
360156,0.04673,36.5081,0.2096
2004gu,0.04670,36.4713,0.1941
2008cf,0.04692,36.4786,0.1482
2008cf,0.04692,36.4857,0.1829
AT2017yk,0.04764,36.7582,0.2807
2016afk,0.04677,36.5642,0.2291
PS16fa,0.04734,36.6009,0.1617
PS15aii,0.04768,36.5946,0.1454
PS17akj,0.04780,36.5627,0.2088
ATLAS16agv,0.04777,36.4976,0.1659
ASASSN-15pm,0.04777,36.3735,0.1547
1995ac,0.04867,36.3303,0.1358
AT2016gmg,0.04839,36.6410,0.1815
1990af,0.05018,36.5997,0.2027
PS16el,0.04896,36.4691,0.1770
2006cq,0.04928,36.5828,0.1681
1993ag,0.05019,36.6402,0.2444
PS15asb,0.04952,36.4714,0.1855
1998dx,0.04980,36.5693,0.1558
PS16dnp,0.04998,36.8583,0.1632
2007kh,0.04944,36.5403,0.4534
ASASSN-17eb,0.04970,36.4621,0.2019
PS15brr,0.05063,36.5461,0.1910
2008hu,0.05071,36.7036,0.1334
AT2016cor,0.04995,36.8523,0.3026
PS16fbb,0.05139,36.8804,0.1684
