planeta,estrela,a_UA,R_Rterra,Teff_K,L_Lsol,distancia_pc
K2-319 b,K2-319,0.15160,2.790,5440,0.5788,209.07
Kepler-414 c,Kepler-414,0.07195,3.010,5536,0.67738,413.46
HD 210193 b,HD 210193,1.48700,14.300,5790,1.1371,42.20
Kepler-1952 b,Kepler-1952,0.17240,1.239,5973,1.9543,852.06
HD 34445 f,HD 34445,1.54300,6.880,5836,2.01,46.09
V0391 Peg b,V0391 Peg,1.70000,13.100,29300,27.094,1195.98
Kepler-1633 b,Kepler-1633,0.38750,1.580,6256,4.4265,1114.91
HAT-P-13 c,HAT-P-13,1.25800,12.300,5653,2.2182,246.81
Kepler-242 c,Kepler-242,0.10900,2.000,5020,0.24397,600.24
Qatar-5 b,Qatar-5,0.04127,12.408,5747,1.138,367.66
K2-132 b,K2-132,0.09160,14.572,4840,8.7799,609.82
Kepler-399 c,Kepler-399,0.15500,1.430,5502,0.38194,740.54
WASP-76 b,WASP-76,0.03300,20.781,6329,4.51,194.46
KELT-15 b,KELT-15,0.04613,19.504,6003,2.58,324.68
Kepler-1130 b,Kepler-1130,0.05963,0.800,5403,0.55,249.34
K2-290 c,K2-290,0.30500,11.276,6302,2.6324,272.91
Kepler-1367 b,Kepler-1367,0.02360,0.920,4106,0.12449,401.48
DMPP-2 c,DMPP-2,0.04789,8.260,6500,1.27,137.94
Kepler-1716 b,Kepler-1716,0.18836,2.425,4894,0.23789,195.44
TOI-1716.01,TOI-1716,0.08050,3.143,5879,1.6415,104.16
Kepler-1038 c,Kepler-1038,0.06920,1.416,5159,0.43451,584.14
HD 109271 c,HD 109271,0.19600,5.270,5783,1.9999,55.87
HATS-41 b,HATS-41,0.05830,14.908,6424,4.5,737.67
HD 45350 b,HD 45350,1.92000,13.500,5566,1.3825,46.87
GJ 3323 b,GJ 3323,0.03282,1.230,3159,0.0027,5.37
Kepler-682 b,Kepler-682,0.10580,7.370,5559,3.0195,1979.25
HD 284149 AB b,HD 284149 A,431.16000,12.000,6035,2.2,117.81
HATS-77 b,HATS-77,0.03607,13.058,4071,0.1019,436.18
WASP-142 b,WASP-142,0.03470,17.150,6010,3.2602,730.93
Kepler-597 b,Kepler-597,0.10916,2.370,5683,0.92598,663.42
HD 29021 b,HD 29021,2.29400,12.900,5560,0.65901,30.99
GJ 682 b,GJ 682,0.08000,1.930,3028,0.002,5.01
HD 168443 c,HD 168443,2.84200,12.200,5491,2.4125,39.62
WASP-53 b,WASP-53,0.04101,12.038,4953,0.344,201.34
Kepler-1857 b,Kepler-1857,0.08308,1.961,6074,1.604,853.27
Kepler-342 c,Kepler-342,0.18500,1.960,6175,2.8409,781.61
Kepler-1251 b,Kepler-1251,0.24780,1.840,5545,0.70366,902.20
KOI-94 b,KOI-94,0.05119,1.710,6182,3.013,477.05
TOI-5624 f,TOI-5624,0.23660,3.660,5327,0.486,101.91
Kepler-242 b,Kepler-242,0.07500,2.610,5020,0.24397,600.24
TOI-220 b,TOI-220,0.08911,3.030,5298,0.54115,90.74
Kepler-374 d,Kepler-374,0.05600,1.310,5977,1.8808,1265.61
Kepler-1870 b,Kepler-1870,0.04520,2.101,5508,0.59461,407.22
Kepler-258 b,Kepler-258,0.10300,4.060,4942,0.26582,575.99
