planeta,M_Mterra,erro_M,R_Rterra,erro_R
K2-18 b,8.9200,1.7000,2.3700,0.2200
HATS-18 b,629.1445,24.1551,14.8968,0.8407
Qatar-4 b,1938.7630,171.6282,12.7222,1.2330
WASP-4 b,381.3941,10.1705,15.1209,0.1233
WASP-155 b,276.8285,57.2091,13.4508,0.6725
HATS-35 b,388.3883,24.7907,16.4100,0.7734
TOI-912 b,5.1000,0.5000,1.9300,0.1300
TOI-4427 b,87.7206,12.3953,13.0921,0.3139
TOI-2583 A b,79.4571,18.4340,14.4596,0.4484
WASP-140 b,775.5052,22.2481,14.2354,0.6725
L 98-59 b,0.4600,0.1100,0.8370,0.0190
TOI-1130 c,336.0000,2.0000,13.0000,0.4000
WASP-19 b,366.7740,24.7906,15.8607,0.4932
Kepler-223 b,7.4000,1.3000,2.9900,0.1800
Gaia-2 b,259.6658,14.9379,14.8183,0.1457
HATS-67 b,460.8535,38.1396,18.8872,0.5268
TOI-2447 b,124.9066,9.8527,9.6061,0.1345
TOI-4137 b,457.6729,54.0308,13.5741,0.4484
TOI-6034 b,254.0000,24.0000,11.9200,0.4800
TOI-1260 b,8.5600,1.5400,2.4100,0.0500
TOI-1062 b,10.1500,0.8100,2.2650,0.0960
WASP-79 b,270.1541,25.4263,17.1497,0.4484
KELT-11 b,65.1548,5.4031,15.1321,1.1209
TOI-4463 A b,252.3558,12.3953,13.2602,0.7174
TOI-2145 b,1805.2654,117.5965,12.2402,0.3363
Kepler-48 c,14.6100,2.3000,2.7100,0.1400
TOI-7510 c,131.0000,11.0000,10.8100,0.3200
K2-60 b,135.3956,11.7597,7.6557,0.4147
AU Mic c,14.4600,3.2400,2.7900,0.1800
HD 213885 b,8.8300,0.6600,1.7450,0.0510
Kepler-177 c,14.7000,2.7000,8.7300,0.3600
TOI-1232 b,220.5729,12.0775,10.9288,0.5941
TOI-4773 b,1687.6688,111.2399,15.2218,0.5492
Kepler-35 b,40.3630,6.3560,8.1600,0.1570
HD 260655 c,3.0900,0.4800,1.5330,0.0510
TOI-1685 b,3.0700,0.3400,1.4210,0.0600
TOI-1298 b,99.0000,6.0000,9.6581,0.1990
TIC 279401253 b,1951.4664,123.9531,11.2090,0.4484
HD 17156 b,1036.1206,34.9611,12.2626,0.3475
WASP-124 b,190.6980,22.2481,13.8992,0.3363
TOI-2986 b,96.6198,21.2945,9.2922,0.2578
HAT-P-63 b,195.1466,7.6279,12.5428,0.3699
WASP-107 b,30.5115,1.5891,10.5365,0.2242
TOI-5678 b,20.0000,4.0000,4.9100,0.0800
HATS-65 b,260.9384,26.3799,16.8247,0.5605
K2-121 b,51.0000,11.0000,7.1600,0.1200
MASCARA-1 b,1175.9710,286.0470,17.9007,0.2018
HAT-P-2 b,2866.8122,31.7828,10.6598,0.4372
TOI-4127 b,743.7185,60.3874,12.0700,0.5000
HD 136352 c,11.2400,0.6500,2.9160,0.0750
Kepler-79 d,5.3000,0.9000,7.1500,0.2000
WASP-10 b,1001.1200,41.3200,12.1060,0.2240
TOI-1438 b,9.4000,1.8000,3.0400,0.1900
NGTS-5 b,72.7831,11.7597,12.7334,0.2578
Qatar-1 b,411.2720,16.5272,12.8119,0.2914
K2-136 c,18.1000,1.9000,3.0000,0.1300
Kepler-39 b,6388.1000,413.2000,13.9000,1.0100
GJ 1214 b,8.4100,0.3600,2.7330,0.0330
TOI-1468 b,3.0400,0.4600,1.4010,0.0590
TOI-6303 b,2493.0000,99.0000,11.5900,0.6100
HIP 41378 f,25.0000,5.0000,9.4700,0.0700
LTT 3780 b,2.4600,0.1900,1.3250,0.0570
CoRoT-28 b,153.8297,27.6512,10.7046,0.7398
TOI-3919 b,1233.1742,73.1005,12.3187,0.5829
TOI-2537 b,415.4017,28.9224,11.2538,0.6613
Kepler-23 b,2.5600,0.4300,1.6380,0.0470
L 98-59 c,2.0000,0.1300,1.3290,0.0290
WASP-63 b,117.5971,28.6047,15.8047,1.5693
GJ 1132 b,1.8370,0.1907,1.1915,0.0381
TOI-5350 b,2094.4892,79.4571,12.4196,0.4259
HD 63433 c,15.5390,3.8610,2.6920,0.1080
Kepler-107 c,10.0000,2.0000,1.5970,0.0260
WASP-67 b,136.6669,28.6047,12.8903,1.2330
TOI-2000 b,11.0000,2.4000,2.7000,0.1500
WASP-131 b,86.7672,6.0387,13.7422,0.4147
Kepler-9 c,29.9000,1.1000,8.0800,0.5400
OGLE-TR-113 b,400.4490,50.8510,12.2510,0.3140
TIC 237913194 b,617.2259,29.2404,12.5205,0.6053
HATS-11 b,263.7989,31.7830,18.0300,0.7200
V1298 Tau c,4.7000,0.6000,5.0800,0.3700
